1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Air Elemental,4E,"Ces esprits du royaume de l'air sont à la fois sauvage et séduisants, mais bien difficile à maîtriser. Peu intelligents, ils préfèrent l'improvisation à la stratégie, prenant plaisir aux coups tordus et au saccage.",,
Air Elemental,5E,"Ces esprits du royaume de l'air sont à la fois sauvage et séduisants, mais bien difficiles à maitriser. Peu intelligents, ils préfèrent l'improvisation à la stratégie, prenant plaisir aux coups tordus et au saccage.",,
Air Elemental,6E,"Il est comme le vent qui le porte : pas de substance, mais quelle force!",,
Air Elemental,7E,La synthèse du cyclone et du tueur psychopathe.,,
Air Elemental,8E,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,9E,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,A,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,AJVC,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,B,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,BD,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,BR,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,BRB,"« Le Vent d'Est, un intrus dans le domaine du Temps d'Ouest, est un tyran au visage impassible et qui dissimule derrière son dos une dague acérée, afin de frapper en traître. »
—Joseph Conrad, Le Miroir de la mer",,
Air Elemental,DD2,"« Le Vent d'Est, un intrus dans le domaine du Temps d'Ouest, est un tyran au visage impassible et qui dissimule derrière son dos une dague acérée, afin de frapper en traître. »
—Joseph Conrad, Le Miroir de la mer",,
Air Elemental,DD3,"« Le Vent d'Est, un intrus dans le domaine du Temps d'Ouest, est un tyran au visage impassible et qui dissimule derrière son dos une dague acérée, afin de frapper en traître. »
—Joseph Conrad, Le Miroir de la mer",,
Air Elemental,DPA,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,JVC,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,M10,"« Le Vent d'Est, un intrus dans le domaine du Temps d'Ouest, est un tyran au visage impassible et qui cache dans son dos un poignard acéré pour frapper en traître. »
—Joseph Conrad, Le Miroir de la mer",,
Air Elemental,ME4,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,P2,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,R,"Ces esprits du royaume de l'air sont à la fois sauvages et séduisants, mais bien difficiles à maîtriser. Peu intelligents, ils préfèrent l'improvisation à la stratégie, prenant plaisir aux coups tordus et au saccage.",,
Air Elemental,ST,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Elemental,U,Priez pour qu'il ne trouve pas refuge dans vos poumons.,,
Air Servant,CNS,"« Le vent est puissant, mais éphémère. Il peut faire chuter un dragon en plein vol, et pourtant passer sans encombre par les failles les plus étroites. »
—Jestus Dreya, Des éléments et de l'éternité",,
Air Servant,M11,"« Le vent est puissant, mais éphémère. Il peut faire chuter un dragon en plein vol, et pourtant passer sans encombre par les failles les plus étroites. »
—Jestus Dreya, Des éléments et de l'éternité",,
Air Servant,M14,"« Le vent est puissant, mais éphémère. Il peut faire chuter un dragon en plein vol, et pourtant passer sans encombre par les failles les plus étroites. »
—Jestus Dreya, Des éléments et de l'éternité",,
Air Servant,MM2,"« Le vent est puissant, mais éphémère. Il peut faire chuter un dragon en plein vol, et pourtant passer sans encombre par les failles les plus étroites. »
—Jestus Dreya, Des éléments et de l'éternité",,
Air Servant,W16,"« Le vent est puissant, mais éphémère. Il peut faire chuter un dragon en plein vol, et pourtant passer sans encombre par les failles les plus étroites. »
—Jestus Dreya, Des éléments et de l'éternité",,
Airborne Aid,ON,"« Nous aidons de notre mieux nos camarades de l'Ordre méridional. L'influence insidieuse de la Coterie s'étend malheureusement sans cesse, divisant nos forces et obligeant nos nouvelles recrues à se débrouiller seules. »
—La Commandante Isheu.",,
Airdrop Condor,ON,Il a deux types d'excréments...Aucun n'est vraiment plaisant.,,
Ajani's Chosen,C15,"« Ensemble, notre rugissement pulvérisera les montagnes. »",,
Ajani's Chosen,M14,"« Ensemble, notre rugissement pulvérisera les montagnes. »",,
Ajani's Mantra,AVB,"« Il n'est pas revenu dans la Forêt des Nues. Mais je sens toujours sa présence apaisante. »
—Zaliki de Naya",,
Ajani's Mantra,DDH,"« Il n'est pas revenu dans la Forêt des Nues. Mais je sens toujours sa présence apaisante. »
—Zaliki de Naya",,
Ajani's Mantra,M11,"« Il n'est pas revenu dans la Forêt des Nues. Mais je sens toujours sa présence apaisante. »
—Zaliki de Naya",,
Ajani's Pridemate,AVB,"« Quand l'un de nous prospère, c'est toute la bande qui prospère. »
—Jazal Crinièredor",,
Ajani's Pridemate,C13,"« Quand l'un de nous prospère, c'est toute la bande qui prospère. »
—Jazal Crinièredor",,
Ajani's Pridemate,DDH,"« Quand l'un de nous prospère, c'est toute la bande qui prospère. »
—Jazal Crinièredor",,
Ajani's Pridemate,M11,"« Quand l'un de nous prospère, c'est toute la bande qui prospère. »
—Jazal Crinièredor",,
Ajani's Pridemate,M15,"« Quand l'un de nous prospère, c'est toute la bande qui prospère. »
—Jazal Crinièredor",,
Ajani's Sunstriker,CNS,« Ajani part là où sa présence est la plus nécessaire et c'est en son nom que nous protégeons ses terres. »,,
Ajani's Sunstriker,M13,« Ajani part là où sa présence est la plus nécessaire et c'est en son nom que nous protégeons ses terres. »,,
Akki Avalanchers,CHK,"Pour les hordes de Godo, « attention, chutes de pierres » finit par vouloir dire « attention, passage d'akki. »",,
Akki Blizzard-Herder,BOK,"« On ne sait toujours pas aujourd'hui si les shamanes akki créaient des tempêtes ou s'ils se contentaient de les prévoir. »
—L'histoire de Kamigawa",,
Akki Coalflinger,AEVG,"Peu importe d'où ils viennent, tous les gobelins aiment les pierres.",,
Akki Coalflinger,CHK,"Peu importe d'où ils viennent, tous les gobelins aiment les pierres.",,
Akki Coalflinger,DD3,"Peu importe d'où ils viennent, tous les gobelins aiment les pierres.",,
Akki Coalflinger,EVG,"Peu importe d'où ils viennent, tous les gobelins aiment les pierres.",,
Akki Drillmaster,SOK,« Qu'est-ce que tu n'as pas compris dans ‘hayaku ikee ' ? »,,
Akki Raider,BOK,"Les akki étaient très territoriaux. Ils attaquaient et détruisaient les communautés trop proches de leurs montagnes. À chaque nouvelle victoire, ils devenaient plus audacieux.",,
Akki Rockspeaker,CHK,"La stupidité des akki étant congénitale, la nature finit par leur donner une carapace à l'épreuve de la lave.",,
Akki Underling,SOK,"« J'ai perdu mes chiens dans la guerre et j'ai été obligé d'employer des akki comme serviteurs. Les dresser m'a paru fortement similaire. »
—Kensuke, maître-chien",,
Akki Underminer,CHK,"« Au fin fond des Montagnes du Sokenzan, une bande d'akki découvrit une cache de puissantes reliques. Le chaos qui s'ensuivit reste gravé dans les annales comme 'Les trois jours de marrade'. »Observations sur la Guerre des kami",,
Akoum Boulderfoot,ROE,"« En Akoum, si vous voyez soudain une ombre au-dessus de vous, la pire chose à faire, c'est de vous baisser. »
—Chadir le navigateur",,
Akoum Flameseeker,OGW,"Face à l'extinction, les projets les plus périlleux peuvent faire naître l'espoir.",,
Akrasan Squire,ALA,"Les armées de Bant sont principalement composées de membres de la caste Mortar, des roturiers loyaux qui n'ont pas encore reçu de sigille.",,
Akroan Conscriptor,BNG,« Le temps de servir est venu. »,,
Akroan Crusader,THS,La valeur d'un soldat akroen se mesure au nombre d'épées que fait lever son cri de guerre.,,
Akroan Hoplite,THS,« Un combat équilibré ? Comment cela se pourrait-il ? Nous sommes akroens. Pas eux. »,,
Akroan Jailer,ORI,"Son rôle, c'est d'assurer que les tentatives d'évasion n'aboutissent jamais.",,
Akroan Line Breaker,JOU,"Les boucliers ennemis cèdent d'abord, rapidement suivis par leurs lignes de combat.",,
Akroan Mastiff,JOU,"Même après le départ de bon nombre des soldats gardant Akros, sa sécurité ne fit pas l'ombre d'un doute.",,
Akroan Phalanx,BNG,"Bouclier au bras, lance à la main, position tenue, cœur résolu.",,
Akroan Skyguard,BNG,"« Croyez-moi. Quand vous aurez gagné la faveur d'un dieu, vous le saurez. »",,
"Akroma, Angel of Wrath",ADVD,« Pas de repos. Pas de pitié. Pas de questions. »,,
"Akroma, Angel of Wrath",ANG,« Pas de repos. Pas de pitié. Pas de questions. »,,
"Akroma, Angel of Wrath",DD3,« Pas de repos. Pas de pitié. Pas de questions. »,,
"Akroma, Angel of Wrath",DDC,« Pas de repos. Pas de pitié. Pas de questions. »,,
"Akroma, Angel of Wrath",DVD,« Pas de repos. Pas de pitié. Pas de questions. »,,
"Akroma, Angel of Wrath",LE,« Pas de repos. Pas de pitié. Pas de questions. »,,
"Akroma, Angel of Wrath",TSB,« Pas de repos. Pas de pitié. Pas de questions. »,,
"Akroma, Angel of Wrath",V15,« Pas de repos. Pas de pitié. Pas de questions. »,,
Akroma's Blessing,ON,Les clercs virent en elle un don du ciel. Elle ne voyait en eux que des alliés dans sa guerre contre Phage.,,
Akroma's Blessing,VMA,Les clercs virent en elle un don du ciel. Elle ne voyait en eux que des alliés dans sa guerre contre Phage.,,
Akroma's Devoted,LE,Akroma ne demandait qu'une seule chose à ses troupes : une loyauté aveugle et inébranlable.,,
Akroma's Memorial,FUT,"« Pas de repos. Pas de pitié. Pas de questions. »
—Inscription du mémorial.",,
Akroma's Memorial,M13,"« Pas de repos. Pas de pitié. Pas de questions. »
—Inscription du mémorial",,
Akroma's Vengeance,CMD,Ixidor n'eut qu'à imaginer sa perte pour qu'Akroma la réalise.,,
Akroma's Vengeance,HOP,Ixidor n'eut qu'à imaginer sa perte pour qu'Akroma la réalise.,,
Akroma's Vengeance,ON,Ixidor n'eut qu'à imaginer sa perte pour qu'Akroma la réalise.,,
Akroma's Vengeance,TWE,Ixidor n'eut qu'à imaginer sa perte pour qu'Akroma la réalise.,,
Akroma's Vengeance,V13,Ixidor n'eut qu'à imaginer sa perte pour qu'Akroma la réalise.,,
Aku Djinn,VI,"« Ton arrogance me stupéfie Kærvek. Ne connais-tu pas le prix que tu auras à payer ? »
—Mangara.",,
Al-abara's Carpet,LG,"Al-bara rit simplement puis leva un doigt, le tapis emporta alors son Altesse loin de nous.",,
Al-abara's Carpet,ME4,"Al-bara rit simplement puis leva un doigt, le tapis emporta alors son Altesse loin de nous.",,
Alabaster Kirin,KTK,"L'apparition d'un kirin marque le départ ou l'arrivée d'une personne importante. Quand la nouvelle de son apparition se répandit, les khans pensèrent qu'il venait pour eux. Seul le shamane Chëanul songea à Sarkhan Vol.",,
Alabaster Leech,IN,"« Ses pierres semblent servir à la guérison, mais les retirer intactes est un processus épuisant. »
—Notes scientifiques, Tolaria.",,
Alabaster Mage,M12,"« Les pouvoirs de la lumière et de la vie nous sont sacrés. La vérité et l'honneur sont nos armes les plus puissantes. »
—Crédo de l'albâtre",,
Alabaster Potion,4E,"La guérison est une question de temps, mais parfois aussi une question de circonstances.
—Proverbe des d'Avenant.",,
Alabaster Potion,5E,"La guérison est une question de temps, mais parfois aussi de circonstances.
—Proverbe des d'Avenant.",,
Alabaster Potion,I2P,"La guérison est une question de temps, mais parfois aussi une question de circonstances.
—Proverbe des d'Avenant.",,
Alabaster Potion,LG,"« La guérison est une question de temps, mais parfois aussi une question de circonstances. »
—Proverbe des d'Avenant.",,
Alabaster Potion,ME3,"« La guérison est une question de temps, mais parfois aussi une question de circonstances. »
—Proverbe des d'Avenant.",,
Alabaster Wall,MM,L'eau de son mortier vient droit de la fontaine de Cho.,,
Alaborn Cavalier,DDG,"« Bien sûr qu'il a pris la fuite ! Je ne voudrais pas non plus me retrouver face à ça ! »
—Soldat d'Alaborn",,
Alaborn Cavalier,KVD,"« Bien sûr qu'il a pris la fuite ! Je ne voudrais pas non plus me retrouver face à ça ! »
—Soldat d'Alaborn",,
Alaborn Cavalier,P2,"« Bien sûr qu'il a pris la fuite ! Je ne voudrais pas non plus me retrouver face à ça ! »
—Soldat d'Alaborn",,
Alaborn Grenadier,P2,"« Toujours fier, toujours vigilant. »
—Devise grenadier",,
Alaborn Musketeer,ME4,Les mousquets ont donné à l'armée d'Alaborn un avantage qui leur manquait depuis longtemps — la défense aérienne.,,
Alaborn Musketeer,P2,Les mousquets ont donné à l'armée d'Alaborn un avantage qui leur manquait depuis longtemps — la défense aérienne.,,
Alaborn Trooper,ME4,"« Je dédie mon corps à mon pays
Et ma vie à mon roi. »
—Serment des soldats d'Alaborn",,
Alaborn Trooper,P2,"« Je dédie mon corps à mon pays
Et ma vie à mon roi. »
—Serment des soldats d'Alaborn",,
Aladdin's Ring,4E,"Lorsque le magicien eut ainsi parlé, il retira un anneau qu'il avait au doigt et le mit au pouce d'Alladin, en lui disant : « Cet anneau, mon fils, te sauvegardera de tous les dangers et te préservera de tout mal (...) »
—Les Milles et une Nuits.",,
Aladdin's Ring,5E,"« Une bonne lampe éclairera votre chemin. Un bon anneau vous nettoiera le chemin »
—Argot gobelin pour « M'as-tu vu. »",,
Aladdin's Ring,6E,"Lorsque le magicien eut ainsi parlé, il retira un anneau qu'il avait au doigt et le mis au pouce d'Aladdin, en lui disant : « Cet anneau, mon fils, te sauvegardera de tous les dangers et te préviendra de tout mal (...) »
—Les Milles et une Nuits.",,
Aladdin's Ring,7E,"« Cet anneau, mon fils, te sauvegardera de tous les dangers et te préservera de tout mal. (…) »
—Les Mille et une Nuits.",,
Aladdin's Ring,8E,"« Une bonne lampe éclairera votre chemin. Un bon anneau vous nettoiera le chemin »
—Argot gobelin pour « M'as-tu vu. »",,
Aladdin's Ring,9E,"« Louke zeuh rinegueu. »
—Argot gobelin pour « M'as-tu vu. »",,
Aladdin's Ring,AN,"« Une bonne lampe éclairera votre chemin. Un bon anneau vous nettoiera le chemin »
—Argot gobelin pour « M'as-tu vu. »",,
Aladdin's Ring,R,"Lorsque le magicien eut ainsi parlé, il retira un anneau qu'il avait au doigt et le mit au pouce d'Aladdin, en lui disant : « Cet anneau, mon fils, te sauvegardera de tous les dangers et te préservera de tout mal. (...) »
—Les Milles et une Nuits.",,
Alarum,MI,"« Un seul cri d'avertissement lancé à temps pourra en sauver neuf de surprise. »
—Sidar Djabari.",,
Alchemist's Apprentice,AVR,"Effets secondaires possibles : odeurs fétides, vapeurs brûlantes et non-existence spontanée.",,
Alchemist's Refuge,AVR,"Les alchimistes persécutés se réfugièrent dans les confins sauvages du Kessig, en quête de solitude pour continuer leur art macabre.",,
Alchemist's Vial,ORI,Une arme pour laquelle il vaut mieux savoir viser et avoir une main assurée.,,
Alert Shu Infantry,P3,Le prédécesseur de Kongming a aidé Liu Bei à gagner la bataille de Fancheng en reconnaissant et en battant la formation redoutée « huit serrures d'or » de Cao Ren.,,
"Alesha, Who Smiles at Death",FRF,« Saluez la mort une épée à la main. »,,
"Alesha, Who Smiles at Death",PRE,« Saluez la mort une épée à la main. »,,
Alesha's Vanguard,FRF,Les frontières dessinées sur les cartes ou marquées par des bornes n'ont aucune signification pour les Mardu.,,
"Alexi, Zephyr Mage",PY,"Les Keldes, qui ignoraient son nom, ne l'en maudissaient pas moins durant toutes les batailles.",,
